Street id ; Street name; number of cars driving along the street 
417;dae-dfe;3.0
418;daf-cacd;2.0
419;dag-bhjb;4.0
420;dag-eee;2.0
421;dah-dbc;1.0
422;dai-caci;1.0
423;daj-dbc;1.0
424;dba-dbc;1.0
425;dbb-dag;6.0
426;dbb-dai;1.0
427;dbc-dbe;1.0
428;dbc-dbg;2.0
429;dbd-dbb;4.0
430;dbe-bggg;1.0
431;dbf-dbb;3.0
432;dbg-bdfa;2.0
433;dbh-hij;0.0
434;dbi-bgf;1.0
435;dbj-ihb;1.0
436;dca-ec;0.0
437;dcb-bgi;1.0
438;dcc-baca;1.0
439;dcd-jii;1.0
440;dce-beaa;7.0
441;dcf-jii;6.0
442;dcf-jij;1.0
443;dcg-cda;2.0
444;dch-ifa;3.0
445;dci-ddb;1.0
446;dcj-bhcj;2.0
447;dda-cig;1.0
448;dda-ba;0.0
449;dda-bb;0.0
450;dda-cif;1.0
451;ddb-bage;1.0
452;ddc-dcj;2.0
453;ddd-bbeb;2.0
454;dde-gjh;2.0
455;ddf-bid;3.0
456;ddg-daa;3.0
457;ddh-cadf;2.0
458;ddi-def;1.0
459;ddj-gec;6.0
460;dea-bfaa;3.0
461;deb-biab;1.0
462;deb-cacg;1.0
463;dec-beai;2.0
464;ded-baii;3.0
465;dee-jgg;2.0
466;def-jga;1.0
467;deg-ddh;2.0
468;deh-gbj;1.0
469;dei-jed;1.0
470;dej-ead;4.0
471;dfa-edh;1.0
472;dfb-hdi;4.0
473;dfc-dga;1.0
474;dfd-daf;2.0
475;dfe-ib;3.0
476;dff-faf;0.0
477;dfg-bafg;1.0
478;dfh-eaa;1.0
479;dfi-eeb;1.0
480;dfj-dfb;4.0
481;dga-bgea;1.0
482;dgb-jdc;0.0
483;dgc-jde;2.0
484;dgd-babg;3.0
485;dge-bggh;3.0
486;dgf-bd;4.0
487;dgg-bcfe;3.0
488;dgg-bbje;1.0
489;dgh-caef;2.0
490;dgh-bajj;1.0
491;dgi-ebf;5.0
492;dgj-bifg;1.0
493;dgj-bdd;2.0
494;dgj-bijd;1.0
495;dha-dhf;6.0
496;dha-ida;1.0
497;dha-bbfd;1.0
498;dha-gb;8.0
499;dhb-bbfb;0.0
500;dhb-bbfd;11.0
501;dhd-bbfb;0.0
502;dhd-bbff;2.0
503;dhe-gb;7.0
504;dhf-bbfg;6.0
505;dhg-dhc;0.0
506;dhg-bbff;2.0
507;dhh-dhi;4.0
508;dhi-jjj;4.0
509;dhj-dhh;0.0
510;dhj-bgcc;1.0
511;dia-bbjc;4.0
512;dib-bjfh;5.0
513;dic-bdbf;5.0
514;did-bjfj;3.0
515;die-c;3.0
516;dif-bcfj;2.0
517;dif-ecg;3.0
518;dig-ecg;4.0
519;dih-ifh;1.0
520;dii-beag;2.0
521;dij-bced;5.0
522;dja-ebh;4.0
523;dja-ifh;1.0
524;djb-iae;3.0
525;djc-djb;3.0
526;djd-eag;2.0
527;dje-bdag;0.0
528;djf-bheg;3.0
529;djg-bcaf;2.0
530;djg-bcah;1.0
531;djh-bdc;1.0
532;dji-bcah;2.0
533;djj-dfi;1.0
534;djj-becd;3.0
535;eaa-bhdf;1.0
536;eaa-babf;2.0
537;eab-bfch;4.0
538;eac-iag;2.0
539;ead-hed;4.0
540;eae-dfa;1.0
541;eaf-djc;3.0
542;eag-gcd;2.0
543;eah-baje;2.0
544;eai-cabi;2.0
545;eaj-beac;2.0
546;eba-bfij;5.0
547;ebb-iie;2.0
548;ebb-bbdh;2.0
549;ebc-bcbd;2.0
550;ebc-bbdg;1.0
551;ebd-gha;4.0
552;ebe-ieg;4.0
553;ebf-jdj;7.0
554;ebg-dgj;4.0
555;ebh-bffe;7.0
556;ebi-bceg;1.0
557;ebi-dij;4.0
558;ebj-bcab;0.0
559;eca-gda;4.0
560;eca-gci;0.0
561;ecb-cbj;6.0
562;ecc-bie;5.0
563;ecd-bebc;10.0
564;ece-dg;1.0
565;ecf-de;0.0
566;ecg-jja;7.0
567;ech-bcfj;2.0
568;eci-heb;4.0
569;ecj-bibd;5.0
570;eda-egd;1.0
571;edb-ede;1.0
572;edc-edi;0.0
573;edc-edg;4.0
574;edd-edb;1.0
575;edd-bidf;3.0
576;ede-hdj;1.0
577;edf-bide;4.0
578;edg-dej;4.0
579;edh-edd;1.0
580;edi-edd;3.0
581;edj-bhce;9.0
582;eea-bjfe;10.0
583;eeb-biij;1.0
584;eec-biij;5.0
585;eed-dfh;1.0
586;eee-hjc;2.0
587;eef-dba;1.0
588;eeg-ibi;1.0
589;eeh-biei;2.0
590;eei-ibi;4.0
591;eej-ifg;5.0
592;eej-bjbf;2.0
593;efa-baif;7.0
594;efb-bja;6.0
595;efb-bjc;2.0
596;efc-bjd;4.0
597;efc-cdf;1.0
598;efd-bdjg;2.0
599;efe-hef;3.0
600;eff-bhbe;3.0
601;efg-ieh;1.0
602;efg-iej;3.0
603;efh-bihj;1.0
604;efh-beib;6.0
605;efi-bhah;1.0
606;efi-bhai;5.0
607;efj-baib;2.0
608;ega-bagh;2.0
609;egb-hgb;1.0
610;egc-eda;0.0
611;egd-hhg;1.0
612;ege-bgbe;4.0
613;ege-ibj;1.0
614;egf-ihd;4.0
615;egf-ifi;3.0
616;egg-bdae;2.0
617;egh-bfjg;1.0
618;egi-igj;3.0
619;egj-bfjh;2.0
620;egj-di;2.0
621;eha-jhi;3.0
622;ehb-cja;1.0
623;ehc-bjee;11.0
624;ehd-cgd;10.0
625;ehe-bhhf;1.0
626;ehf-ehh;1.0
627;ehg-bada;4.0
628;ehh-bfd;4.0
629;ehi-bjjf;6.0
630;ehj-gib;12.0
631;eia-eic;0.0
632;eia-bjjd;3.0
633;eia-eib;0.0
634;eia-bjjf;1.0
635;eia-gij;4.0
636;eib-ehj;2.0
637;eib-bjjd;2.0
638;eic-ehj;1.0
639;eid-bggj;4.0
640;eie-bjjf;4.0
641;eif-bjjf;1.0
642;eig-bjjd;4.0
643;eih-ejf;2.0
644;eih-biid;1.0
645;eih-biig;7.0
646;eii-eih;2.0
647;eii-hha;4.0
648;eij-hha;2.0
649;eja-ghc;3.0
650;eja-bej;5.0
651;ejb-hha;8.0
652;ejc-bjeb;3.0
653;ejd-bdgf;7.0
654;eje-biid;1.0
655;eje-eja;1.0
656;ejf-bffd;3.0
657;ejg-cf;2.0
658;ejg-cb;5.0
659;ejh-fad;0.0
660;ejh-ice;10.0
661;ejh-fjj;1.0
662;ejh-icf;4.0
663;eji-bhbj;1.0
664;ejj-ce;4.0
665;ejj-bi;4.0
666;ejj-ca;5.0
667;faa-ice;7.0
668;fab-cb;5.0
669;fac-ica;0.0
670;fac-ice;4.0
671;fad-cb;1.0
672;fae-cb;1.0
673;faf-jjb;6.0
674;faf-gfh;3.0
675;fag-gfh;7.0
676;fah-dc;11.0
677;fai-hfg;1.0
678;faj-hfg;1.0
679;fba-baai;4.0
680;fbb-hfg;1.0
681;fbb-baai;1.0
682;fbc-baai;1.0
683;fbd-bgjc;5.0
684;fbe-bjcd;3.0
685;fbe-bbdb;2.0
686;fbf-fbh;1.0
687;fbf-fbj;6.0
688;fbf-fcc;3.0
689;fbg-hdf;11.0
690;fbh-ggd;4.0
691;fbi-fbg;10.0
692;fbj-fch;12.0
693;fca-bjf;3.0
694;fca-jig;1.0
695;fcb-fch;1.0
696;fcb-fcj;2.0
697;fcc-jig;3.0
698;fcd-fbg;1.0
699;fce-bjf;2.0
700;fce-jig;2.0
701;fcf-bfae;1.0
702;fcg-fca;1.0
703;fcg-fcd;1.0
704;fcg-fce;1.0
705;fch-fcj;1.0
706;fch-fdb;0.0
707;fch-bfae;1.0
708;fch-fdd;2.0
709;fch-fi;4.0
710;fch-fdh;3.0
711;fci-fbi;5.0
712;fci-fca;2.0
713;fcj-jgb;2.0
714;fcj-fdj;1.0
715;fda-fdj;0.0
716;fda-fdc;1.0
717;fdb-fdc;2.0
718;fdc-fcf;1.0
719;fdc-fcg;1.0
720;fdc-fci;2.0
721;fdd-jih;2.0
722;fde-fdh;1.0
723;fdf-fdh;1.0
724;fdg-fdc;1.0
725;fdh-jih;6.0
726;fdi-jeb;0.0
727;fdi-fci;4.0
728;fdi-fcg;1.0
729;fdj-babj;3.0
730;fea-bbif;1.0
731;feb-ffe;1.0
732;fec-ffe;3.0
733;fed-hba;0.0
734;fed-hbb;3.0
735;fee-iaj;7.0
736;fee-fei;0.0
737;fef-bgb;4.0
738;feg-iaj;1.0
739;feg-iba;4.0
740;feh-ffb;4.0
741;feh-feg;1.0
742;fei-feh;1.0
743;fej-bga;4.0
744;fej-bgb;4.0
745;ffa-che;1.0
746;ffb-bid;4.0
747;ffc-ffa;1.0
748;ffd-fed;3.0
749;ffe-jfb;1.0
750;ffe-jfd;0.0
751;fff-feb;0.0
752;ffg-bgdd;5.0
753;ffh-bfia;8.0
754;ffi-gje;6.0
755;ffj-bidd;5.0
756;fga-bfce;2.0
757;fgb-gcc;3.0
758;fgc-bfce;3.0
759;fgd-gge;5.0
760;fgd-ggg;0.0
761;fge-jhd;4.0
762;fge-jhg;0.0
763;fge-eba;1.0
764;fgf-jbe;4.0
765;fgg-ggj;3.0
766;fgh-fhc;4.0
767;fgi-baea;5.0
768;fgj-ghh;1.0
769;fha-hjd;3.0
770;fhb-fgi;5.0
771;fhc-hjd;4.0
772;fhd-ibc;9.0
773;fhd-ibd;2.0
774;fhe-dd;8.0
775;fhf-bad;8.0
776;fhg-bbge;4.0
777;fhh-bgji;3.0
778;fhi-jdg;5.0
779;fhj-bhgh;1.0
780;fhj-iif;5.0
781;fia-beb;5.0
782;fib-igd;5.0
783;fic-gja;1.0
784;fid-bgaf;3.0
785;fie-bjea;2.0
786;fif-hgd;2.0
787;fig-bjea;5.0
788;fih-bfdi;6.0
789;fii-d;6.0
790;fij-bbja;3.0
791;fja-efi;5.0
792;fjb-bade;1.0
793;fjc-bbjg;1.0
794;fjc-fje;1.0
795;fjd-fjf;7.0
796;fje-jbi;1.0
797;fje-jbj;1.0
798;fjf-caag;7.0
799;fjg-fjb;1.0
800;fjg-fje;1.0
801;fjh-bhgc;1.0
802;fjh-bffb;1.0
803;fji-ejg;1.0
804;fjj-bccj;1.0
805;gaa-bhaa;5.0
806;gab-bba;4.0
807;gac-bgig;5.0
808;gad-bbhi;4.0
809;gae-ijb;1.0
810;gaf-cadi;7.0
811;gaf-bgbj;3.0
812;gag-fid;3.0
813;gag-fif;2.0
814;gag-bjea;3.0
815;gah-hfi;2.0
816;gai-ejd;7.0
817;gaj-bigf;3.0
818;gba-bbfc;4.0
819;gbb-jji;4.0
820;gbc-hge;4.0
821;gbd-gdb;4.0
822;gbe-bc;3.0
823;gbf-caee;4.0
824;gbg-caee;3.0
825;gbh-bide;4.0
826;gbi-ca;0.0
827;gbj-baff;1.0
828;gca-dei;1.0
829;gcb-bafe;2.0
830;gcc-eaf;3.0
831;gcd-fga;2.0
832;gce-djd;2.0
833;gcf-biec;4.0
834;gcg-bbb;5.0
835;gch-bbfh;3.0
836;gcj-ecb;2.0
837;gda-gbc;4.0
838;gdb-ecb;4.0
839;gdc-gfj;7.0
840;gdd-bhja;6.0
841;gde-bjjh;1.0
842;gdf-bgcj;3.0
843;gdg-gdc;6.0
844;gdh-cadb;1.0
845;gdi-biij;1.0
846;gdj-hid;3.0
847;gea-bfgg;2.0
848;geb-bcii;0.0
849;gec-bagc;2.0
850;gec-bcja;4.0
851;ged-bcig;3.0
852;ged-ddj;2.0
853;gee-bfhb;3.0
854;gef-bfgg;0.0
855;geg-bfgg;3.0
856;geh-bbfc;3.0
857;geh-bbfe;2.0
858;gei-baee;4.0
859;gej-bgij;0.0
860;gfa-bhfd;0.0
861;gfb-bchg;4.0
862;gfc-gfd;1.0
863;gfd-jfj;1.0
864;gfe-gff;1.0
865;gff-ha;0.0
866;gfg-faf;3.0
867;gfh-bdjh;9.0
868;gfh-gfi;1.0
869;gfi-faf;6.0
870;gfi-dfg;1.0
871;gfj-jah;7.0
872;gga-gdd;7.0
873;ggb-bdge;3.0
874;ggc-bjda;7.0
875;ggd-fge;4.0
876;gge-fbi;1.0
877;gge-fca;1.0
878;gge-fce;3.0
879;ggf-jhd;1.0
880;ggg-fge;2.0
881;ggh-jhd;1.0
882;ggi-fgf;2.0
883;ggj-behj;1.0
884;ggj-beia;2.0
885;gha-bcbf;4.0
886;ghb-ebe;4.0
887;ghc-jgi;3.0
888;ghd-iff;6.0
889;ghe-baeb;6.0
890;ghf-ied;1.0
891;ghg-eij;2.0
892;ghh-eii;1.0
893;ghi-hec;5.0
894;ghj-cbe;1.0
895;ghj-bheh;3.0
896;gia-eia;11.0
897;gib-bjec;2.0
898;gib-bjef;10.0
899;gic-bai;5.0
900;gid-bjeg;3.0
901;gid-bahe;1.0
902;gie-bahb;1.0
903;gie-bjeg;3.0
904;gie-bahe;1.0
905;gif-bggc;4.0
906;gig-ehi;0.0
907;gig-ehj;4.0
908;gig-eib;1.0
909;gig-eie;0.0
910;gig-eif;0.0
911;gig-eig;0.0
912;gih-bgga;5.0
913;gii-gih;0.0
914;gii-bjjd;2.0
915;gij-bdeb;4.0
916;gja-bbde;1.0
917;gjb-cgg;2.0
918;gjc-cgf;2.0
919;gjd-bfhc;0.0
920;gje-jd;6.0
921;gjf-ffj;4.0
922;gjf-fgc;3.0
923;gjf-ffg;1.0
924;gjg-ddd;1.0
925;gjh-he;2.0
926;gjh-iij;5.0
927;gji-igi;3.0
928;gji-bcef;3.0
929;gji-ddd;1.0
930;gjj-iij;2.0
931;haa-hac;1.0
932;hab-ifj;1.0
933;hac-jje;1.0
934;had-jb;1.0
935;hae-bihd;1.0
936;haf-bhef;1.0
937;hag-bfih;2.0
938;hah-bedf;2.0
939;hah-bdae;1.0
940;hai-bfih;3.0
941;hba-eha;1.0
942;hbb-bgfg;3.0
943;hbc-fec;3.0
944;hbd-cj;1.0
945;hbe-db;0.0
946;hbf-caef;1.0
947;hbg-baji;1.0
948;hbh-bedh;3.0
949;hbi-bcff;1.0
950;hbi-bcfg;0.0
951;hbj-bcff;4.0
952;hca-bdhf;4.0
953;hcb-baha;5.0
954;hcc-jjf;5.0
955;hcd-hcf;8.0
956;hce-hcc;5.0
957;hcf-bhj;9.0
958;hcg-bia;1.0
959;hch-feg;1.0
960;hci-dcg;1.0
961;hci-dch;1.0
962;hcj-hde;1.0
963;hcj-hdg;1.0
964;hcj-bge;1.0
965;hda-iah;8.0
966;hda-iai;1.0
967;hda-hch;0.0
968;hdb-iai;4.0
969;hdc-bij;1.0
970;hdd-hde;3.0
971;hdd-hdg;3.0
972;hde-fbf;6.0
973;hdf-bge;2.0
974;hdf-hda;8.0
975;hdf-hdb;1.0
976;hdg-fbf;4.0
977;hdh-dfc;1.0
978;hdi-hea;4.0
979;hdj-hdh;1.0
980;hea-edf;4.0
981;heb-ghj;4.0
982;hec-ecj;5.0
983;hed-bfai;5.0
984;hee-bggf;4.0
985;hee-eae;1.0
986;hef-bjbc;3.0
987;heg-efd;2.0
988;heh-bjfd;1.0
989;hei-bfcf;1.0
990;hej-bhdb;3.0
991;hfa-bijd;3.0
992;hfb-bicd;1.0
993;hfb-cca;5.0
994;hfc-bhej;2.0
995;hfd-bjic;1.0
996;hfd-bjib;0.0
997;hfe-jdh;1.0
998;hff-cgi;1.0
999;hfg-bijf;1.0
1000;hfg-bhff;2.0
1001;hfh-faj;0.0
1002;hfh-fbb;1.0
1003;hfi-bhgb;2.0
1004;hfj-cdi;3.0
1005;hfj-bcjf;2.0
1006;hga-bdhc;7.0
1007;hgb-bcje;1.0
1008;hgc-fig;5.0
1009;hgd-becg;2.0
1010;hge-jjh;4.0
1011;hgf-gbd;4.0
1012;hgg-bgie;1.0
1013;hgh-iei;1.0
1014;hgi-eih;4.0
1015;hgi-eja;6.0
1016;hgj-eih;4.0
1017;hha-ceb;8.0
1018;hha-ced;4.0
1019;hha-cab;2.0
1020;hhb-cacd;6.0
1021;hhc-bbga;5.0
1022;hhd-cadh;2.0
1023;hhd-bdf;6.0
1024;hhe-bbdi;5.0
1025;hhf-egc;1.0
1026;hhg-bjhf;1.0
1027;hhh-bdbe;5.0
1028;hhh-bdbb;1.0
1029;hhi-bjb;4.0
1030;hhj-bifa;2.0
1031;hhj-bhec;2.0
1032;hia-baeb;5.0
1033;hib-bhed;2.0
1034;hic-caab;2.0
1035;hid-bhf;6.0
1036;hie-bfgd;3.0
1037;hie-gea;2.0
1038;hif-bfhi;1.0
1039;hig-haj;0.0
1040;hih-cdg;2.0
1041;hii-baf;1.0
1042;hij-bag;1.0
1043;hja-eef;1.0
1044;hja-jch;2.0
1045;hjb-cacj;1.0
1046;hjb-cach;2.0
1047;hjc-jch;2.0
1048;hjd-bchb;3.0
1049;hjd-bche;2.0
1050;hje-fgj;1.0
1051;hje-fhb;5.0
1052;hjf-bffc;2.0
1053;hjg-bidj;1.0
1054;hjg-iaa;1.0
1055;hjh-bidj;1.0
1056;hji-bidj;3.0
1057;hji-ebi;5.0
